epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,379.95,1.20911,1.05467,1.10087,1.11622,0.75445,0.34148,0.38557,0.24519,0.78749,0.3612,0.41352,0.18088,1.54258,1.40495,2.73026,1.26676,0.00149368,0.00149368,0.00149368
54,386.841,1.20498,1.09145,1.04864,1.11457,0.48137,0.36607,0.39206,0.24142,0.48137,0.36607,0.37909,0.17658,1.36582,1.37203,2.63933,1.23017,0.00149035,0.00149035,0.00149035
55,393.535,1.19128,1.06098,1.06471,1.10965,0.51557,0.30952,0.38873,0.23815,0.51557,0.30952,0.3663,0.16066,1.29806,1.40225,2.48288,1.17818,0.00148702,0.00148702,0.00148702
56,400.642,1.17467,1.14378,1.11724,1.10839,0.46524,0.36838,0.45918,0.2733,0.46524,0.36838,0.44328,0.23217,1.34298,1.29901,1.93117,1.18797,0.00148369,0.00148369,0.00148369
57,407.399,1.18066,1.22813,1.11572,1.12412,0.53465,0.42673,0.49701,0.31803,0.5545,0.44007,0.50914,0.2715,1.27004,1.18636,1.6815,1.14005,0.00148035,0.00148035,0.00148035
58,414.345,1.13672,1.14759,1.06591,1.14815,0.69311,0.42262,0.49699,0.2729,0.69311,0.42262,0.49491,0.19324,1.26269,1.2012,1.86088,1.16062,0.00147702,0.00147702,0.00147702
59,421.11,1.11167,1.14072,1.05095,1.09631,0.64856,0.45125,0.47107,0.31403,0.64856,0.45125,0.47592,0.20044,1.17763,1.15167,2.27777,1.14946,0.00147369,0.00147369,0.00147369
60,427.681,1.06705,1.06124,0.98314,1.07276,0.52964,0.49405,0.42541,0.26979,0.49775,0.45833,0.3854,0.18591,1.17651,1.37012,2.31028,1.16091,0.00147035,0.00147035,0.00147035
61,434.546,1.0336,1.02297,0.92508,1.08523,0.47755,0.49405,0.4053,0.25443,0.44713,0.45833,0.37441,0.18263,1.1583,1.44496,2.24331,1.15378,0.00146702,0.00146702,0.00146702
62,441.52,1.1019,1.169,0.9489,1.10039,0.4498,0.53326,0.43258,0.2848,0.42024,0.49811,0.39404,0.19317,1.19807,1.29057,2.17198,1.19283,0.00146369,0.00146369,0.00146369
63,448.58,1.12805,1.09365,0.92941,1.09291,0.47401,0.46144,0.41175,0.2434,0.43824,0.42572,0.37639,0.19503,1.29753,1.29778,2.18445,1.20608,0.00146035,0.00146035,0.00146035
64,455.588,1.07125,0.98945,0.91855,1.08827,0.42233,0.5,0.36245,0.21938,0.44264,0.51781,0.40077,0.17588,1.3084,1.25927,2.01244,1.19584,0.00145702,0.00145702,0.00145702
65,462.313,1.08555,1.00974,0.95938,1.10863,0.38769,0.5506,0.3828,0.26497,0.42583,0.59226,0.4489,0.20213,1.24546,1.13379,1.80259,1.14815,0.00145369,0.00145369,0.00145369
66,469.116,1.05592,0.98211,0.96284,1.09654,0.41304,0.46224,0.34095,0.22253,0.45759,0.50444,0.40449,0.17995,1.27888,1.18572,2.15215,1.15841,0.00145036,0.00145036,0.00145036
67,475.897,1.08806,1.04417,0.89687,1.08332,0.39965,0.3244,0.36997,0.23005,0.69201,0.30952,0.41497,0.16538,1.11726,1.21794,2.51542,1.08849,0.00144702,0.00144702,0.00144702
68,482.759,1.01938,0.99187,0.86963,1.05758,0.56947,0.33036,0.41532,0.2717,0.56947,0.33036,0.40431,0.18256,1.14552,1.25051,2.01977,1.11534,0.00144369,0.00144369,0.00144369
69,489.784,1.00561,0.97114,0.89743,1.04145,0.68441,0.30952,0.4274,0.27639,0.71427,0.33036,0.45093,0.20432,1.19137,1.4094,2.30061,1.12889,0.00144036,0.00144036,0.00144036
70,498.715,0.99966,1.02636,0.81646,1.04058,0.60737,0.30952,0.38364,0.23819,0.64411,0.33036,0.42129,0.18613,1.31627,1.39142,2.61107,1.14821,0.00143702,0.00143702,0.00143702
71,505.517,1.00707,0.91254,0.82978,1.04797,0.80344,0.33036,0.41983,0.23339,0.80344,0.33036,0.41127,0.16782,1.29339,1.42606,2.44242,1.17459,0.00143369,0.00143369,0.00143369
72,512.397,1.06366,1.05492,0.84882,1.08879,0.43503,0.5,0.42912,0.24858,0.43503,0.5,0.42919,0.19176,1.43092,1.45956,2.45062,1.22724,0.00143036,0.00143036,0.00143036
73,519.391,1.03478,1.1211,0.85448,1.04163,0.46403,0.54997,0.44783,0.28766,0.46403,0.54997,0.44903,0.2054,1.38082,1.30464,1.98954,1.26625,0.00142702,0.00142702,0.00142702
74,526.069,1.09524,1.1207,0.94096,1.06666,0.42509,0.62436,0.52269,0.31434,0.42509,0.62436,0.52429,0.20226,1.36341,1.26837,1.67489,1.23771,0.00142369,0.00142369,0.00142369
75,532.902,1.00105,0.96245,0.84977,1.04223,0.73044,0.35119,0.45624,0.27634,0.73044,0.35119,0.45624,0.18728,1.37815,1.17083,2.05225,1.1775,0.00142036,0.00142036,0.00142036
76,539.825,1.01451,0.98162,0.83878,1.03476,0.64288,0.35119,0.45688,0.29455,0.64288,0.35119,0.45688,0.19484,1.23465,1.14573,2.03321,1.15221,0.00141703,0.00141703,0.00141703
77,547.136,1.02743,1.0237,0.81328,1.04881,0.60961,0.35119,0.42543,0.27398,0.60961,0.35119,0.42069,0.18235,1.16193,1.16804,2.10442,1.13033,0.00141369,0.00141369,0.00141369
78,553.966,1.07078,0.95208,0.85351,1.10521,0.57401,0.3869,0.40028,0.24665,0.57401,0.3869,0.40028,0.18664,1.21108,1.11963,2.28292,1.12879,0.00141036,0.00141036,0.00141036
79,561.1,1.00123,0.94515,0.7821,1.01745,0.69053,0.35218,0.43621,0.2552,0.69053,0.35218,0.4407,0.18325,1.34376,1.12456,2.36191,1.20365,0.00140703,0.00140703,0.00140703
80,567.946,1.01664,1.14297,0.84535,1.06988,0.69002,0.39331,0.49421,0.28681,0.69002,0.39331,0.48715,0.20906,1.40681,1.17103,2.6209,1.31449,0.00140369,0.00140369,0.00140369
81,574.733,1.01174,0.95389,0.84712,1.04001,0.70763,0.36607,0.44774,0.2704,0.73741,0.3869,0.48918,0.19193,1.40609,1.09838,2.35659,1.33336,0.00140036,0.00140036,0.00140036
82,581.651,1.02644,1.0163,0.81275,1.04592,0.67204,0.42262,0.47416,0.30018,0.67204,0.42262,0.4619,0.21815,1.41743,1.30302,2.03983,1.25467,0.00139703,0.00139703,0.00139703
83,588.109,1.00318,0.93531,0.82063,1.03222,0.59437,0.44345,0.5004,0.32593,0.59437,0.44345,0.49885,0.2437,1.28509,1.17522,2.00029,1.21768,0.00139369,0.00139369,0.00139369
